"","0-4 years","5-14 years","15-24 years","25-49 years","50-64 years","65-79 years","80+ years"
"9","0,0","0,0","0,0","2,3","18,6","0,0","0,0"
"10","9,4","2,1","8,3","18,3","63,6","25,1","0,0"
"11","9,4","4,3","45,8","101,5","127,3","50,2","7,9"
"12","28,1","40,5","172,9","287,8","318,2","175,6","31,7"
"13","46,8","81,1","341,6","429,0","502,9","268,4","119,0"
"14","74,9","153,7","508,2","547,3","617,8","373,7","158,7"
"15","103,0","172,9","547,8","582,4","651,9","386,2","190,4"
"16","107,7","177,1","564,4","602,3","670,5","406,3","198,4"
"17","107,7","179,3","568,6","606,9","675,2","406,3","198,4"
"18","107,7","179,3","570,7","606,9","675,2","408,8","198,4"
"19","107,7","181,4","572,8","607,6","675,2","408,8","198,4"
"20","107,7","181,4","572,8","608,4","675,2","408,8","198,4"
"21","107,7","181,4","574,8","608,4","675,2","411,3","198,4"
"22","107,7","181,4","574,8","609,1","675,2","411,3","198,4"
"23","107,7","181,4","574,8","609,1","675,2","413,8","198,4"
"24","107,7","181,4","581,1","609,9","675,2","413,8","198,4"
"25","107,7","181,4","581,1","611,4","675,2","413,8","198,4"
"26","107,7","181,4","585,3","613,7","675,2","413,8","198,4"
"27","107,7","181,4","585,3","615,2","676,8","413,8","198,4"
"28","107,7","181,4","585,3","615,2","676,8","413,8","198,4"
"29","107,7","181,4","585,3","615,2","676,8","413,8","198,4"
"30","107,7","181,4","591,5","625,2","678,3","418,9","198,4"
"31","107,7","183,5","626,9","647,3","693,8","423,9","206,3"
"32","107,7","185,7","637,3","663,3","698,5","426,4","206,3"
"33","117,0","187,8","645,7","675,6","704,7","438,9","206,3"
"34","121,7","189,9","649,8","691,6","718,7","446,4","222,2"
"35","140,4","194,2","656,1","700,0","718,7","451,5","230,1"
"36","140,4","200,6","664,4","703,8","724,9","466,5","230,1"
"37","140,4","204,9","676,9","712,2","740,4","466,5","238,1"
"38","149,8","224,09","774,79","826,69","810,24","511,65","261,86"
"39","187,2","264,63","883,09","896,16","887,85","551,78","293,6"
"40","220,0","350","1058","1060,3","960,81","627,02","349,15"
"41","313,64","480,18","1291,3","1229","1106,7","727,35","428,5"
"42","388,54","612,5","1451,7","1364,8","1202,9","777,51","444,37"
"43","449,4","725,61","1578,7","1452,6","1300,7","870,31","857,01"
"44","482,16","781,1","1680,8","1525,1","1386,1","955,58","952,23"
"45","524,3","825,92","1705,8","1558","1428","1005,7","976,04"
"46","547,7","847,3","1718,3","1582,4","1448,2","1018,3","976,0"
"47","599,2","877,1","1741,2","1605,3","1456,0","978,2","960,2"
"48","603,9","889,9","1762,0","1634,3","1511,8","1005,7","976,0"
